sequence,timestamp,process_pid,process_start_time,phase,delayed,rss_kib,pss_kib,pss_anon_kib,private_dirty_kib,anonymous_kib,swap_kib,docker_memory_usage_bytes,docker_memory_limit_bytes,has_docker_memory,vma_count,fd_count,socket_fd_count,thread_count,pid_count,cgroup_anon_bytes,cgroup_current_bytes,cgroup_memory_stat_anon,has_cgroup,has_cgroup_anon,oom_events,oom_kill_events,bgp_state,bgp_fsm_ticks,reconnect_count,has_rss,has_pss,has_pss_anon,has_private_dirty,has_anonymous,has_swap,has_thread_count,has_pid_count,has_fd_count,has_socket_fd_count,has_vma_count
0,2026-07-21T11:54:08.246034601+03:00,1839360,635100158,startup,false,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
1,2026-07-21T11:54:09.254833833+03:00,1839360,635100158,startup,false,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
2,2026-07-21T11:54:11.260655268+03:00,1839360,635100158,startup,true,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
3,2026-07-21T11:54:13.267909826+03:00,1839360,635100158,startup,true,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
4,2026-07-21T11:54:15.27410406+03:00,1839360,635100158,startup,true,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
5,2026-07-21T11:54:17.281557092+03:00,1839360,635100158,warmup,true,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
6,2026-07-21T11:54:19.292691887+03:00,1839360,635100158,warmup,true,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
7,2026-07-21T11:54:21.300314571+03:00,1839360,635100158,warmup,true,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
8,2026-07-21T11:54:23.307170802+03:00,1839360,635100158,warmup,true,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
9,2026-07-21T11:54:25.314813858+03:00,1839360,635100158,warmup,true,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
10,2026-07-21T11:54:27.323705705+03:00,1839360,635100158,baseline,true,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
