sequence,timestamp,process_pid,process_start_time,phase,delayed,rss_kib,pss_kib,pss_anon_kib,private_dirty_kib,anonymous_kib,swap_kib,docker_memory_usage_bytes,docker_memory_limit_bytes,has_docker_memory,vma_count,fd_count,socket_fd_count,thread_count,pid_count,cgroup_anon_bytes,cgroup_current_bytes,cgroup_memory_stat_anon,has_cgroup,has_cgroup_anon,oom_events,oom_kill_events,bgp_state,bgp_fsm_ticks,reconnect_count,has_rss,has_pss,has_pss_anon,has_private_dirty,has_anonymous,has_swap,has_thread_count,has_pid_count,has_fd_count,has_socket_fd_count,has_vma_count
0,2026-07-21T15:09:38.185747014+03:00,2169125,636273148,startup,false,0,0,0,0,0,0,1736704,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
1,2026-07-21T15:09:39.196015037+03:00,2169125,636273148,startup,false,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
2,2026-07-21T15:09:41.201636613+03:00,2169125,636273148,startup,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
3,2026-07-21T15:09:43.20910237+03:00,2169125,636273148,startup,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
4,2026-07-21T15:09:45.216117192+03:00,2169125,636273148,startup,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
5,2026-07-21T15:09:47.226319491+03:00,2169125,636273148,warmup,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
6,2026-07-21T15:09:49.23277162+03:00,2169125,636273148,warmup,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
7,2026-07-21T15:09:51.238952902+03:00,2169125,636273148,warmup,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
8,2026-07-21T15:09:53.247492567+03:00,2169125,636273148,warmup,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
9,2026-07-21T15:09:55.254810995+03:00,2169125,636273148,warmup,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
10,2026-07-21T15:09:57.263061019+03:00,2169125,636273148,baseline,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
11,2026-07-21T15:09:59.269629198+03:00,2169125,636273148,baseline,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
12,2026-07-21T15:10:01.276848124+03:00,2169125,636273148,baseline,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
13,2026-07-21T15:10:03.285649126+03:00,2169125,636273148,baseline,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
14,2026-07-21T15:10:05.29298132+03:00,2169125,636273148,baseline,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
15,2026-07-21T15:10:07.30358083+03:00,2169125,636273148,baseline,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
16,2026-07-21T15:10:09.310969527+03:00,2169125,636273148,baseline,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
17,2026-07-21T15:10:11.317604751+03:00,2169125,636273148,baseline,true,0,0,0,0,0,0,1724416,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
18,2026-07-21T15:10:13.325025362+03:00,2169125,636273148,stimulus,true,0,0,0,0,0,0,2203648,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
19,2026-07-21T15:10:15.331612712+03:00,2169125,636273148,stimulus,true,0,0,0,0,0,0,2195456,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
20,2026-07-21T15:10:17.33806892+03:00,2169125,636273148,stimulus,true,0,0,0,0,0,0,2195456,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
21,2026-07-21T15:10:19.34866432+03:00,2169125,636273148,stimulus,true,0,0,0,0,0,0,2195456,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
22,2026-07-21T15:10:21.355069262+03:00,2169125,636273148,stimulus,true,0,0,0,0,0,0,2195456,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
