sequence,timestamp,process_pid,process_start_time,phase,delayed,rss_kib,pss_kib,pss_anon_kib,private_dirty_kib,anonymous_kib,swap_kib,docker_memory_usage_bytes,docker_memory_limit_bytes,has_docker_memory,vma_count,fd_count,socket_fd_count,thread_count,pid_count,cgroup_anon_bytes,cgroup_current_bytes,cgroup_memory_stat_anon,has_cgroup,has_cgroup_anon,oom_events,oom_kill_events,bgp_state,bgp_fsm_ticks,reconnect_count,has_rss,has_pss,has_pss_anon,has_private_dirty,has_anonymous,has_swap,has_thread_count,has_pid_count,has_fd_count,has_socket_fd_count,has_vma_count
0,2026-07-21T13:24:45.231775128+03:00,2002863,635643853,startup,false,0,0,0,0,0,0,1957888,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
1,2026-07-21T13:24:46.241833927+03:00,2002863,635643853,startup,false,0,0,0,0,0,0,1699840,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
2,2026-07-21T13:24:48.248256754+03:00,2002863,635643853,startup,true,0,0,0,0,0,0,1699840,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
3,2026-07-21T13:24:50.254498212+03:00,2002863,635643853,startup,true,0,0,0,0,0,0,1699840,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
4,2026-07-21T13:24:52.263842843+03:00,2002863,635643853,startup,true,0,0,0,0,0,0,1699840,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
5,2026-07-21T13:24:54.271912974+03:00,2002863,635643853,warmup,true,0,0,0,0,0,0,1699840,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
6,2026-07-21T13:24:56.278392073+03:00,2002863,635643853,warmup,true,0,0,0,0,0,0,1699840,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
7,2026-07-21T13:24:58.28584519+03:00,2002863,635643853,warmup,true,0,0,0,0,0,0,1699840,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
8,2026-07-21T13:25:00.293517957+03:00,2002863,635643853,warmup,true,0,0,0,0,0,0,1699840,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
9,2026-07-21T13:25:02.300307231+03:00,2002863,635643853,warmup,true,0,0,0,0,0,0,1699840,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
