id,path,language,logical_loc,role,public_interface,target_go_command,status,notes
# Shell scripts (sorted by logical LOC, descending)
# === HIGH COMPLEXITY (>200 LOC) - migration-required ===
S001,scripts/lab_uvb76_capture_netns_contract.sh,shell,395,lab-orchestration,lab-uvb76-capture-netns,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq + state machine
S002,scripts/verify_uvb76_diag_packet_contract_lib.sh,shell,375,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq + trap cleanup
S003,scripts/lab_uvb76_capture_netns.sh,shell,369,lab-orchestration,lab-uvb76-capture-netns,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq orchestration
S004,scripts/lab_uvb76_capture_netns_cooldown_helpers.sh,shell,359,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq + timers
S005,scripts/lab_uvb76_capture_netns_lib.sh,shell,357,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq + netns
S006,scripts/verify_bgp_stability.sh,shell,353,lab-orchestration,,cmd/bgp-stability-lab,migration-required,Bootstrap inventory - trap cleanup
S007,scripts/check_allocation_patterns.sh,shell,340,verifier,,cmd/check-allocation,migration-required,Bootstrap inventory - large shell script
S008,scripts/verify_uvb76_row_normalization_tests.sh,shell,327,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S009,scripts/run_frontend_tests.sh,shell,324,ci-glue,,cmd/frontend-test,migration-required,Bootstrap inventory - npm wrapper
S010,scripts/audit_repo_health.sh,shell,320,verifier,,cmd/audit-repo-health,migration-required,Bootstrap inventory - large shell
S011,scripts/quality_gate.sh,shell,314,verifier,,cmd/quality-gate,migration-required,Bootstrap inventory - gate orchestration
S012,scripts/verify_uvb76_extract_network_diag_tests.sh,shell,302,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S013,scripts/verify_uvb76_diag_packet_contract.sh,shell,301,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S014,scripts/lab_bgp_bfd_reconnect_bgp_reset.sh,shell,291,lab-orchestration,lab-bgp-bfd-reconnect-bgp-reset,cmd/bgp-bfd-reconnect-lab,migration-required,Bootstrap inventory - jq
S015,scripts/lab_bgp_bfd_reconnect_lib.sh,shell,290,lab-orchestration,,cmd/bgp-bfd-reconnect-lab,migration-required,Bootstrap inventory - jq + curl
S016,scripts/lab_uvb76_capture_netns_diag.sh,shell,286,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S017,scripts/lab_uvb76_capture_netns_contract_normalizers.sh,shell,284,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S018,scripts/lab_uvb76_capture_netns_phase1_harden_self_test.sh,shell,260,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S019,scripts/lab_bgp_bfd_reconnect.sh,shell,258,lab-orchestration,lab-bgp-bfd-reconnect,cmd/bgp-bfd-reconnect-lab,migration-required,Bootstrap inventory - jq
S020,scripts/lab_bgp_bfd_netns_lib.sh,shell,236,lab-orchestration,lab-bgp-bfd,cmd/bgp-bfd-netns-lab,migration-required,Bootstrap inventory - large lib
S021,scripts/verify_bgp_reconnect_artifact.sh,shell,234,lab-orchestration,,cmd/bgp-bfd-reconnect-lab,migration-required,Bootstrap inventory - jq
S022,scripts/lab_uvb76_capture_netns_fetch_packet.sh,shell,229,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S023,scripts/make_targeted_digest.sh,shell,228,verifier,,cmd/make-digest,migration-required,Bootstrap inventory - large digest
S024,scripts/lab_bgp_bfd_netns_bfd.sh,shell,222,lab-orchestration,lab-bgp-bfd,cmd/bgp-bfd-netns-lab,migration-required,Bootstrap inventory - jq + curl
S025,scripts/check_memory_ownership.sh,shell,219,verifier,,cmd/check-memory-ownership,migration-required,Bootstrap inventory - large shell
S026,scripts/build_opkg_package.sh,shell,217,packaging,opkg-package,cmd/build-opkg,migration-required,Bootstrap inventory - package build
S027,scripts/verify_bgp_stability_fixtures.sh,shell,213,lab-orchestration,,cmd/bgp-stability-lab,migration-required,Bootstrap inventory
S028,scripts/verify_field_manual_network_diag.sh,shell,207,verifier,,cmd/verify-network-diag,migration-required,Bootstrap inventory - large verifier
S029,scripts/check_llm_friendliness.sh,shell,207,verifier,llm-friendliness,cmd/check-llm-friendliness,migration-required,Bootstrap inventory - large check
S030,scripts/verify_uvb76_captured_row_assertion_tests.sh,shell,206,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S031,scripts/lab_uvb76_capture_netns_phase_helpers.sh,shell,200,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S032,scripts/verify_plaintext_logs.sh,shell,196,verifier,verify-plaintext-logs,cmd/verify-logs,migration-required,Bootstrap inventory - large verifier
S033,scripts/verify_split_test_inventory.sh,shell,196,verifier,,cmd/verify-split-test,migration-required,Bootstrap inventory
S034,scripts/git_no_history_rewrite_pre_push.sh,shell,196,ci-glue,,cmd/git-safety,migration-required,Bootstrap inventory - pre-push hook
S035,scripts/lab_bgp_bfd_netns_tovarisch_diag.sh,shell,193,lab-orchestration,,cmd/bgp-bfd-netns-lab,migration-required,Bootstrap inventory - jq
S036,scripts/verify_github_no_force_push_ruleset.sh,shell,189,verifier,verify-github-ruleset,cmd/verify-github-ruleset,migration-required,Bootstrap inventory
S037,scripts/verify_uvb76_capture_netns_lab.sh,shell,189,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S038,scripts/lab_uvb76_capture_netns_fetch_helpers.sh,shell,187,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S039,scripts/lab_uvb76_capture_netns_phase_capture_helpers.sh,shell,171,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S040,scripts/lab_bgp_bfd_netns_stability.sh,shell,168,lab-orchestration,lab-bgp-bfd,cmd/bgp-bfd-netns-lab,migration-required,Bootstrap inventory - jq + curl
S041,scripts/lab_uvb76_capture_netns_capture_poll.sh,shell,157,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq + polling
S042,scripts/verify_git_history_safety_policy.sh,shell,137,verifier,verify-git-history-safety,cmd/verify-git-history,migration-required,Bootstrap inventory
S043,scripts/verify_uvb76_diag_packet_contract_selftest.sh,shell,135,verifier,,cmd/verify-diag-contract,migration-required,Bootstrap inventory
S044,scripts/lab_uvb76_capture_netns_poll.sh,shell,127,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq + polling
S045,scripts/check_allocation_patterns_self_test.sh,shell,117,verifier,,cmd/check-allocation,migration-required,Bootstrap inventory
S046,scripts/verify_deb_systemd_package.sh,shell,115,verifier,verify-deb-systemd,cmd/verify-deb,migration-required,Bootstrap inventory
S047,scripts/install_git_safety_hooks.sh,shell,92,ci-glue,install-git-safety-hooks,cmd/install-git-hooks,migration-required,Bootstrap inventory
S048,scripts/lab_uvb76_targets_crash.sh,shell,105,lab-orchestration,lab-uvb76-targets-crash,cmd/uvb76-crash-lab,migration-required,Bootstrap inventory
S049,scripts/lab_uvb76_latency_crash.sh,shell,62,lab-orchestration,lab-uvb76-latency-crash,cmd/uvb76-crash-lab,migration-required,Bootstrap inventory
S050,scripts/verify_www_authenticate.sh,shell,65,verifier,,cmd/verify-www-auth,migration-required,Bootstrap inventory
S051,scripts/lab_uvb76_capture_netns_result.sh,shell,85,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S052,scripts/verify_structured_logs.sh,shell,81,verifier,verify-structured-logs,cmd/verify-logs,migration-required,Bootstrap inventory
S053,scripts/lab_uvb76_capture_netns_topology.sh,shell,80,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory
S054,scripts/verify_uvb76_capture_helpers.sh,shell,78,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - thin wrapper
S055,scripts/lab_uvb76_capture_netns_defect.sh,shell,75,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory
S056,scripts/coverage_report.sh,shell,53,verifier,coverage-report,cmd/coverage-report,migration-required,Bootstrap inventory - exceeds limit
S057,scripts/lab_bgp_bfd_netns_collect.sh,shell,46,lab-orchestration,lab-bgp-bfd,cmd/bgp-bfd-netns-lab,migration-required,Bootstrap inventory - exceeds limit
S058,scripts/package_deb.sh,shell,44,packaging,package-deb,cmd/package-deb,migration-required,Bootstrap inventory - exceeds limit
S059,scripts/lab_uvb76_capture_netns_phase1_harden.sh,shell,40,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - jq
S060,scripts/lab_bgp_bfd_netns_config.sh,shell,39,lab-orchestration,lab-bgp-bfd,cmd/bgp-bfd-netns-lab,migration-required,Bootstrap inventory
S061,scripts/check_tovarisch_serve_liveness.sh,shell,37,verifier,tovarisch-serve-liveness,cmd/check-liveness,migration-required,Bootstrap inventory - exceeds limit
S062,scripts/install_linux_net_lab_deps.sh,shell,36,bootstrap,,cmd/install-lab-deps,migration-required,Bootstrap inventory - exceeds limit
S063,scripts/verify_status_json.sh,shell,35,verifier,,cmd/verify-status-json,migration-required,Bootstrap inventory
S064,scripts/verify_bfd_up_artifact.sh,shell,25,lab-orchestration,,cmd/verify-bfd-artifact,migration-required,Bootstrap inventory
S065,scripts/verify_uvb76_capture_url_lab.sh,shell,22,lab-orchestration,lab-uvb76-capture-url,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory
S066,scripts/lab_uvb76_tcp_diag_telemetry.sh,shell,21,lab-orchestration,lab-uvb76-tcp-diag-telemetry,cmd/uvb76-tcp-diag-lab,migration-required,Bootstrap inventory
S067,scripts/lab_bgp_bfd_netns_consts.sh,shell,20,lab-orchestration,lab-bgp-bfd,cmd/bgp-bfd-netns-lab,migration-required,Bootstrap inventory - thin lib
S068,scripts/lab_uvb76_capture_netns_result_helpers.sh,shell,18,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory
S069,scripts/lab_uvb76_icmp_os_ping_soak.sh,shell,12,lab-orchestration,lab-uvb76-icmp-os-ping-soak,cmd/uvb76-icmp-lab,migration-required,Bootstrap inventory
S070,scripts/check_final_newlines_regression.sh,shell,12,verifier,test-final-newlines-regression,cmd/check-newlines,migration-required,Bootstrap inventory - exceeds limit
S071,scripts/lab_uvb76_capture_netns_tovarisch.sh,shell,10,lab-orchestration,lab-uvb76-capture-netns,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory
S072,scripts/fixtures/test-bgp-reconnect-fixtures.sh,shell,5,ci-glue,,cmd/test-fixtures,migration-required,Bootstrap inventory
S073,scripts/verify_workflow_release_safety.sh,shell,3,verifier,,cmd/verify-release,migration-required,Bootstrap inventory
S074,scripts/verify_opkg_package.sh,shell,3,verifier,verify-opkg-package,cmd/verify-opkg,migration-required,Bootstrap inventory
S075,scripts/lab_tovarisch_idle_memory.sh,shell,3,lab-orchestration,lab-tovarisch-idle-memory,cmd/memory-lab,migration-required,Bootstrap inventory
S076,scripts/lab_memory_attribution_matrix.sh,shell,3,lab-orchestration,lab-memory-attribution-matrix,cmd/memory-lab,migration-required,Bootstrap inventory
S077,scripts/coverage_gate.sh,shell,3,verifier,coverage,cmd/coverage-gate,migration-required,Bootstrap inventory
S078,scripts/lab_uvb76_capture_netns_consts.sh,shell,0,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - constants only
S079,scripts/lab_uvb76_capture_netns_contract_assertions.sh,shell,0,lab-orchestration,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - assertions only
# === THIN WRAPPERS (<=50 LOC) ===
S080,scripts/linux_smoke_test.sh,shell,126,ci-glue,,cmd/linux-smoke-test,migration-required,Bootstrap inventory - exceeds LOC limit
# === PYTHON FILES (all migration-required) ===
# Note: Python is prohibited in production; all files below must be migrated to Go
P001,scripts/ar_parser.py,python,0,verifier,,cmd/ar-parser,migration-required,Bootstrap inventory - Python verifier
P002,scripts/attribution_contract.py,python,0,verifier,,cmd/attribution-contract,migration-required,Bootstrap inventory - Python verifier
P003,scripts/check_zig_memory_copy_safety.py,python,0,verifier,,cmd/check-zig-memory,migration-required,Bootstrap inventory - Python verifier
P004,scripts/coverage_diagnostics.py,python,0,verifier,,cmd/coverage-diagnostics,migration-required,Bootstrap inventory - Python verifier
P005,scripts/coverage_gate.py,python,0,verifier,,cmd/coverage-gate,migration-required,Bootstrap inventory - Python verifier
P006,scripts/coverage_test_fallback.py,python,0,verifier,,cmd/coverage-fallback,migration-required,Bootstrap inventory - Python verifier
P007,scripts/effect_boundary_verifier/__init__.py,python,0,verifier,,cmd/effect-boundary,migration-required,Bootstrap inventory - Python verifier
P008,scripts/effect_boundary_verifier/classifications.py,python,0,verifier,,cmd/effect-boundary,migration-required,Bootstrap inventory - Python verifier
P009,scripts/effect_boundary_verifier/patterns.py,python,0,verifier,,cmd/effect-boundary,migration-required,Bootstrap inventory - Python verifier
P010,scripts/effect_boundary_verifier/scanner.py,python,0,verifier,,cmd/effect-boundary,migration-required,Bootstrap inventory - Python verifier
